# harness=1293dfc0 engine=4c9a5b36 mode=renderer-stepped camera=orbit runs=3 frames=300
scene	config	run	mode	camera	wall_fps	wall_ms	fence_ms	brd_ms	gpu_main	gpu_svgf	gpu_composite	gpu_ssao	gpu_volumetrics	gpu_upscale	gpu_presentation	gpu_bloom	sim_time_s	entities	draws	lights	tlas	state_hash	gpu_inactive
whiterun	taa	3	renderer-stepped	orbit	92.0	10.87	7.60	0.39	5.615	0.436	0.044	0.063	1.080	0.013	0.012	0.038	5.000010	5765	1260/239b/12c	18	1235	d39f37b2efd8c3b4	skin_palette
whiterun	fsr-native-aa	1	renderer-stepped	orbit	87.9	11.38	7.81	0.40	5.635	0.437	0.048	0.063	1.032	0.233	0.012	0.044	5.000010	5765	1260/239b/12c	18	1235	d39f37b2efd8c3b4	taa,skin_palette
whiterun	fsr-native-aa	2	renderer-stepped	orbit	88.1	11.35	7.95	0.40	5.497	0.473	0.046	0.063	0.982	0.241	0.013	0.047	5.000010	5765	1260/239b/12c	18	1235	d39f37b2efd8c3b4	taa,skin_palette
whiterun	fsr-native-aa	3	renderer-stepped	orbit	88.7	11.27	7.62	0.40	5.348	0.724	0.046	0.063	1.084	0.230	0.012	0.039	5.000010	5765	1260/239b/12c	18	1235	d39f37b2efd8c3b4	taa,skin_palette
whiterun	fsr-quality	1	renderer-stepped	orbit	109.6	9.12	5.75	0.39	8.179	0.246	0.024	0.032	0.537	0.298	0.014	0.036	5.000010	5765	1260/239b/12c	18	1235	d39f37b2efd8c3b4	taa,skin_palette
whiterun	fsr-quality	2	renderer-stepped	orbit	108.6	9.21	5.95	0.39	7.808	0.206	0.025	0.032	0.536	0.179	0.402	0.037	5.000010	5765	1260/239b/12c	18	1235	d39f37b2efd8c3b4	taa,skin_palette
whiterun	fsr-quality	3	renderer-stepped	orbit	107.7	9.28	5.99	0.39	8.332	0.209	0.025	0.032	0.824	0.181	0.013	0.036	5.000010	5765	1260/239b/12c	18	1235	d39f37b2efd8c3b4	taa,skin_palette
whiterun	fsr-balanced	1	renderer-stepped	orbit	108.8	9.19	5.93	0.40	10.306	0.171	0.019	0.027	0.485	0.165	0.012	0.031	5.000010	5765	1260/239b/12c	18	1235	d39f37b2efd8c3b4	taa,skin_palette
whiterun	fsr-balanced	2	renderer-stepped	orbit	108.0	9.26	5.62	0.41	11.128	0.168	0.020	0.027	0.742	0.164	0.013	0.039	5.000010	5765	1260/239b/12c	18	1235	d39f37b2efd8c3b4	taa,skin_palette
whiterun	fsr-balanced	3	renderer-stepped	orbit	109.5	9.13	5.82	0.39	11.274	0.170	0.020	0.027	0.485	0.166	0.012	0.031	5.000010	5765	1260/239b/12c	18	1235	d39f37b2efd8c3b4	taa,skin_palette
