# harness=1293dfc0e engine=cb44d99f6 mode=renderer-stepped camera=orbit runs=3 frames=300
scene	config	run	mode	camera	wall_fps	wall_ms	fence_ms	brd_ms	gpu_main	gpu_svgf	gpu_composite	gpu_ssao	gpu_volumetrics	gpu_upscale	gpu_presentation	gpu_bloom	sim_time_s	entities	draws	lights	tlas	state_hash	gpu_inactive
whiterun	fsr-quality	2	renderer-stepped	orbit	101.1	9.89	6.49	0.34	8.023	0.207	0.026	0.033	0.882	0.170	0.013	0.032	5.000010	5777	1260/239b/12c	18	1235	49b2f81f5c955695	taa,skin_palette,groundcover_scatter
whiterun	fsr-quality	3	renderer-stepped	orbit	103.1	9.70	6.38	0.35	9.135	0.208	0.025	0.033	0.828	0.170	0.013	0.036	5.000010	5777	1260/239b/12c	18	1235	49b2f81f5c955695	taa,skin_palette,groundcover_scatter
whiterun	fsr-balanced	1	renderer-stepped	orbit	102.0	9.81	6.04	0.36	11.355	0.167	0.022	0.027	0.735	0.162	0.013	0.031	5.000010	5777	1260/239b/12c	18	1235	49b2f81f5c955695	taa,skin_palette,groundcover_scatter
whiterun	fsr-balanced	2	renderer-stepped	orbit	104.6	9.56	6.31	0.34	11.773	0.165	0.022	0.027	1.106	0.170	0.014	0.035	5.000010	5777	1260/239b/12c	18	1235	49b2f81f5c955695	taa,skin_palette,groundcover_scatter
whiterun	fsr-balanced	3	renderer-stepped	orbit	102.9	9.72	6.25	0.35	11.834	0.167	0.020	0.027	0.724	0.162	0.014	0.031	5.000010	5777	1260/239b/12c	18	1235	49b2f81f5c955695	taa,skin_palette,groundcover_scatter
whiterun	fsr-performance	1	renderer-stepped	orbit	127.9	7.82	4.39	0.35	8.295	0.132	0.017	0.020	0.346	0.152	0.013	0.029	5.000010	5777	1260/239b/12c	18	1235	49b2f81f5c955695	taa,skin_palette,groundcover_scatter
whiterun	fsr-performance	2	renderer-stepped	orbit	143.1	6.99	4.06	0.31	7.187	0.128	0.017	0.020	0.327	0.152	0.014	0.033	5.000010	5777	1260/239b/12c	18	1235	49b2f81f5c955695	taa,skin_palette,groundcover_scatter
whiterun	fsr-performance	3	renderer-stepped	orbit	146.7	6.82	3.94	0.33	7.673	0.130	0.016	0.020	0.339	0.153	0.013	0.029	5.000010	5777	1260/239b/12c	18	1235	49b2f81f5c955695	taa,skin_palette,groundcover_scatter
medtek	taa	1	renderer-stepped	orbit	21.6	46.39	26.35	3.17	46.822	0.334	0.043	0.053	1.534	0.014	0.012	0.038	5.000010	39560	13545/1281b/29c	286	13038	ff6fb395a101cd35	skin_palette,groundcover_scatter
medtek	taa	2	renderer-stepped	orbit	21.4	46.63	26.76	3.15	46.265	0.335	0.043	0.054	1.734	0.014	0.012	0.038	5.000010	39560	13545/1281b/29c	286	13038	ff6fb395a101cd35	skin_palette,groundcover_scatter
medtek	taa	3	renderer-stepped	orbit	21.7	46.14	26.43	3.02	47.887	0.336	0.043	0.054	1.724	0.014	0.012	0.038	5.000010	39560	13545/1281b/29c	286	13038	ff6fb395a101cd35	skin_palette,groundcover_scatter
medtek	fsr-native-aa	1	renderer-stepped	orbit	21.4	46.69	27.45	3.05	44.002	0.335	0.043	0.054	1.498	0.230	0.014	0.039	5.000010	39560	13545/1281b/29c	286	13038	ff6fb395a101cd35	taa,skin_palette,groundcover_scatter
medtek	fsr-native-aa	2	renderer-stepped	orbit	21.6	46.30	27.44	2.98	44.771	0.334	0.044	0.053	1.443	0.222	0.014	0.039	5.000010	39560	13545/1281b/29c	286	13038	ff6fb395a101cd35	taa,skin_palette,groundcover_scatter
medtek	fsr-native-aa	3	renderer-stepped	orbit	21.5	46.47	27.55	2.96	44.576	0.538	0.045	0.054	1.735	0.343	0.014	0.039	5.000010	39560	13545/1281b/29c	286	13038	ff6fb395a101cd35	taa,skin_palette,groundcover_scatter
medtek	fsr-quality	1	renderer-stepped	orbit	35.5	28.21	7.09	3.18	29.478	0.169	0.026	0.028	1.262	0.171	0.014	0.033	5.000010	39560	13545/1281b/29c	286	13038	ff6fb395a101cd35	taa,skin_palette,groundcover_scatter
medtek	fsr-quality	2	renderer-stepped	orbit	34.3	29.13	6.67	3.48	26.003	0.169	0.026	0.028	1.352	0.171	0.013	0.033	5.000010	39560	13545/1281b/29c	286	13038	ff6fb395a101cd35	taa,skin_palette,groundcover_scatter
medtek	fsr-quality	3	renderer-stepped	orbit	35.5	28.19	7.33	3.22	27.095	0.168	0.025	0.028	1.070	0.170	0.013	0.033	5.000010	39560	13545/1281b/29c	286	13038	ff6fb395a101cd35	taa,skin_palette,groundcover_scatter
medtek	fsr-balanced	1	renderer-stepped	orbit	41.4	24.16	2.57	3.29	20.192	0.134	0.020	0.023	0.914	0.162	0.014	0.032	5.000010	39560	13545/1281b/29c	286	13038	ff6fb395a101cd35	taa,skin_palette,groundcover_scatter
medtek	fsr-balanced	2	renderer-stepped	orbit	41.2	24.29	2.92	3.34	23.110	0.140	0.259	0.024	0.579	0.161	0.014	0.033	5.000010	39560	13545/1281b/29c	286	13038	ff6fb395a101cd35	taa,skin_palette,groundcover_scatter
medtek	fsr-balanced	3	renderer-stepped	orbit	41.5	24.09	3.71	3.12	21.384	0.137	0.020	0.024	0.597	0.160	0.013	0.036	5.000010	39560	13545/1281b/29c	286	13038	ff6fb395a101cd35	taa,skin_palette,groundcover_scatter
medtek	fsr-performance	1	renderer-stepped	orbit	46.1	21.70	0.56	3.33	16.285	0.106	0.017	0.018	0.449	0.151	0.013	0.030	5.000010	39560	13545/1281b/29c	286	13038	ff6fb395a101cd35	taa,skin_palette,groundcover_scatter
medtek	fsr-performance	2	renderer-stepped	orbit	47.2	21.18	0.50	3.34	15.989	0.342	0.017	0.018	0.467	0.150	0.013	0.030	5.000010	39560	13545/1281b/29c	286	13038	ff6fb395a101cd35	taa,skin_palette,groundcover_scatter
medtek	fsr-performance	3	renderer-stepped	orbit	46.3	21.60	0.37	3.31	16.498	0.106	0.017	0.018	0.445	0.151	0.013	0.029	5.000010	39560	13545/1281b/29c	286	13038	ff6fb395a101cd35	taa,skin_palette,groundcover_scatter
