# harness=4de5e78e engine=34074b93 mode=renderer-stepped camera=orbit runs=3 frames=300
scene	config	run	mode	camera	wall_fps	wall_ms	fence_ms	brd_ms	gpu_main	gpu_svgf	gpu_composite	gpu_ssao	gpu_volumetrics	gpu_upscale	gpu_presentation	gpu_bloom	sim_time_s	entities	draws	lights	tlas	state_hash
whiterun	fsr-balanced	3	renderer-stepped	orbit	191.7	5.22	3.93	0.26	3.666	0.164	0.012	0.005	0.122	0.163	0.011	0.027	5.000010	5183	1241/230b/12c	18	1215	ccc57c4ab8a2aad5
whiterun	fsr-performance	1	renderer-stepped	orbit	244.3	4.09	2.92	0.25	3.069	0.128	0.010	0.005	0.105	0.153	0.012	0.027	5.000010	5183	1241/230b/12c	18	1215	ccc57c4ab8a2aad5
whiterun	fsr-performance	2	renderer-stepped	orbit	244.1	4.10	2.89	0.26	3.065	0.127	0.011	0.004	0.103	0.152	0.013	0.027	5.000010	5183	1241/230b/12c	18	1215	ccc57c4ab8a2aad5
whiterun	fsr-performance	3	renderer-stepped	orbit	242.8	4.12	2.87	0.27	2.943	0.126	0.010	0.005	0.106	0.152	0.012	0.027	5.000010	5183	1241/230b/12c	18	1215	ccc57c4ab8a2aad5
medtek	taa	1	renderer-stepped	orbit	42.1	23.76	17.27	2.60	21.468	0.346	0.024	0.009	0.206	0.013	0.011	0.029	5.000010	32920	13376/1918b/27c	286	12868	2f7ce7e0a661ff3b
medtek	taa	2	renderer-stepped	orbit	42.5	23.52	16.74	2.70	22.094	0.344	0.024	0.010	0.205	0.012	0.011	0.030	5.000010	32920	13376/1918b/27c	286	12868	2f7ce7e0a661ff3b
medtek	taa	3	renderer-stepped	orbit	42.6	23.48	16.84	2.59	21.552	0.346	0.024	0.010	0.205	0.012	0.011	0.029	5.000010	32920	13376/1918b/27c	286	12868	2f7ce7e0a661ff3b
medtek	fsr-native-aa	1	renderer-stepped	orbit	41.7	23.97	17.31	2.56	21.715	0.346	0.023	0.009	0.205	0.218	0.014	0.035	5.000010	32920	13376/1918b/27c	286	12868	2f7ce7e0a661ff3b
medtek	fsr-native-aa	2	renderer-stepped	orbit	41.6	24.01	17.14	2.72	22.290	0.347	0.023	0.010	0.205	0.220	0.014	0.036	5.000010	32920	13376/1918b/27c	286	12868	2f7ce7e0a661ff3b
medtek	fsr-native-aa	3	renderer-stepped	orbit	41.9	23.88	17.31	2.57	21.933	0.344	0.024	0.009	0.206	0.220	0.014	0.035	5.000010	32920	13376/1918b/27c	286	12868	2f7ce7e0a661ff3b
medtek	fsr-quality	1	renderer-stepped	orbit	69.3	14.42	7.64	2.70	9.722	0.170	0.014	0.007	0.138	0.168	0.013	0.028	5.000010	32920	13376/1918b/27c	286	12868	2f7ce7e0a661ff3b
medtek	fsr-quality	2	renderer-stepped	orbit	69.5	14.39	7.86	2.58	9.556	0.169	0.014	0.008	0.137	0.169	0.013	0.029	5.000010	32920	13376/1918b/27c	286	12868	2f7ce7e0a661ff3b
medtek	fsr-quality	3	renderer-stepped	orbit	69.4	14.40	7.98	2.49	9.526	0.170	0.013	0.007	0.136	0.168	0.012	0.029	5.000010	32920	13376/1918b/27c	286	12868	2f7ce7e0a661ff3b
medtek	fsr-balanced	1	renderer-stepped	orbit	77.4	12.91	6.59	2.49	10.426	0.138	0.012	0.007	0.134	0.160	0.011	0.027	5.000010	32920	13376/1918b/27c	286	12868	2f7ce7e0a661ff3b
medtek	fsr-balanced	2	renderer-stepped	orbit	78.3	12.78	6.62	2.53	10.467	0.137	0.012	0.007	0.132	0.160	0.012	0.027	5.000010	32920	13376/1918b/27c	286	12868	2f7ce7e0a661ff3b
medtek	fsr-balanced	3	renderer-stepped	orbit	77.5	12.91	6.62	2.50	10.604	0.138	0.012	0.007	0.131	0.162	0.013	0.027	5.000010	32920	13376/1918b/27c	286	12868	2f7ce7e0a661ff3b
medtek	fsr-performance	1	renderer-stepped	orbit	88.4	11.31	1.59	2.70	8.325	0.106	0.010	0.008	0.121	0.151	0.012	0.025	5.000010	32920	13376/1918b/27c	286	12868	2f7ce7e0a661ff3b
medtek	fsr-performance	2	renderer-stepped	orbit	82.2	12.17	5.28	2.68	8.157	0.106	0.010	0.007	0.130	0.151	0.013	0.026	5.000010	32920	13376/1918b/27c	286	12868	2f7ce7e0a661ff3b
medtek	fsr-performance	3	renderer-stepped	orbit	86.7	11.53	4.78	2.67	9.160	0.358	0.010	0.008	0.125	0.153	0.014	0.027	5.000010	32920	13376/1918b/27c	286	12868	2f7ce7e0a661ff3b
dugout	taa	1	renderer-stepped	orbit	81.7	12.23	10.20	0.51	11.248	0.324	0.025	0.011	0.213	0.013	0.011	0.037	5.000010	7346	1922/350b/12c	156	1804	7315600f1de56e43
dugout	taa	2	renderer-stepped	orbit	83.3	12.00	10.16	0.50	11.320	0.322	0.023	0.009	0.210	0.012	0.011	0.028	5.000010	7346	1922/350b/12c	156	1804	7315600f1de56e43
dugout	taa	3	renderer-stepped	orbit	81.9	12.21	10.26	0.52	11.487	0.323	0.024	0.010	0.212	0.012	0.011	0.030	5.000010	7346	1922/350b/12c	156	1804	7315600f1de56e43
dugout	fsr-native-aa	1	renderer-stepped	orbit	79.3	12.61	10.48	0.52	11.596	0.321	0.023	0.009	0.211	0.218	0.013	0.041	5.000010	7346	1922/350b/12c	156	1804	7315600f1de56e43
dugout	fsr-native-aa	2	renderer-stepped	orbit	79.7	12.55	10.53	0.50	11.530	0.319	0.024	0.010	0.210	0.219	0.012	0.044	5.000010	7346	1922/350b/12c	156	1804	7315600f1de56e43
dugout	fsr-native-aa	3	renderer-stepped	orbit	80.4	12.45	10.36	0.51	11.554	0.322	0.024	0.010	0.211	0.218	0.012	0.041	5.000010	7346	1922/350b/12c	156	1804	7315600f1de56e43
dugout	fsr-quality	1	renderer-stepped	orbit	103.9	9.63	7.52	0.53	8.500	0.160	0.013	0.006	0.191	0.168	0.012	0.032	5.000010	7346	1922/350b/12c	156	1804	7315600f1de56e43
dugout	fsr-quality	2	renderer-stepped	orbit	100.3	9.97	7.79	0.56	8.456	0.161	0.014	0.006	0.155	0.167	0.044	0.039	5.000010	7346	1922/350b/12c	156	1804	7315600f1de56e43
dugout	fsr-quality	3	renderer-stepped	orbit	106.0	9.44	7.54	0.48	8.522	0.161	0.014	0.006	0.156	0.168	0.013	0.029	5.000010	7346	1922/350b/12c	156	1804	7315600f1de56e43
dugout	fsr-balanced	1	renderer-stepped	orbit	133.2	7.51	5.57	0.50	6.751	0.133	0.013	0.005	0.133	0.161	0.012	0.029	5.000010	7346	1922/350b/12c	156	1804	7315600f1de56e43
dugout	fsr-balanced	2	renderer-stepped	orbit	136.4	7.33	5.62	0.47	6.875	0.131	0.012	0.005	0.163	0.161	0.012	0.028	5.000010	7346	1922/350b/12c	156	1804	7315600f1de56e43
dugout	fsr-balanced	3	renderer-stepped	orbit	134.2	7.45	5.45	0.52	6.291	0.132	0.012	0.005	0.133	0.165	0.012	0.032	5.000010	7346	1922/350b/12c	156	1804	7315600f1de56e43
dugout	fsr-performance	1	renderer-stepped	orbit	197.8	5.06	3.48	0.42	3.968	0.101	0.010	0.005	0.109	0.152	0.011	0.031	5.000010	7346	1922/350b/12c	156	1804	7315600f1de56e43
dugout	fsr-performance	2	renderer-stepped	orbit	220.8	4.53	3.02	0.43	3.715	0.101	0.010	0.005	0.107	0.153	0.012	0.031	5.000010	7346	1922/350b/12c	156	1804	7315600f1de56e43
dugout	fsr-performance	3	renderer-stepped	orbit	201.7	4.96	3.35	0.44	3.265	0.099	0.010	0.005	0.112	0.147	0.011	0.025	5.000010	7346	1922/350b/12c	156	1804	7315600f1de56e43
