sample	main_ms	opaque_ms	blended_ms	water_ms	gc_models_ms	gc_blades_ms
206	64.570	60.790	3.437	0.000	0.000	0.000
207	64.786	60.996	2.951	0.000	0.000	0.000
208	64.532	60.814	3.109	0.000	0.000	0.000
209	65.317	61.758	2.978	0.000	0.000	0.000
210	65.179	61.449	3.067	0.000	0.000	0.000
211	67.011	62.546	3.137	0.000	0.000	0.000
212	66.040	62.264	3.001	0.000	0.000	0.000
213	65.629	61.455	3.194	0.000	0.000	0.000
214	65.491	61.929	3.088	0.000	0.000	0.000
215	65.972	61.026	3.214	0.000	0.000	0.000
216	66.619	62.500	3.198	0.000	0.000	0.000
217	66.617	62.375	3.134	0.000	0.000	0.000
218	65.989	61.884	3.210	0.000	0.000	0.000
219	65.355	61.492	3.160	0.000	0.000	0.000
220	66.553	62.341	2.942	0.000	0.000	0.000
221	66.745	62.729	3.088	0.000	0.000	0.000
222	66.548	62.780	3.061	0.000	0.000	0.000
223	66.062	62.012	3.132	0.000	0.000	0.000
224	65.872	61.581	3.096	0.000	0.000	0.000
225	67.178	63.242	3.094	0.000	0.000	0.000
226	66.196	62.158	3.214	0.000	0.000	0.000
227	66.900	62.308	3.303	0.000	0.000	0.000
228	66.002	61.390	3.062	0.000	0.000	0.000
229	66.988	62.693	3.251	0.000	0.000	0.000
230	66.331	62.283	3.456	0.000	0.000	0.000
231	65.991	62.166	3.552	0.000	0.000	0.000
232	66.023	62.590	3.416	0.000	0.000	0.000
233	67.402	63.430	3.454	0.000	0.000	0.000
234	66.096	62.374	3.341	0.000	0.000	0.000
235	66.036	61.697	4.318	0.000	0.000	0.000
236	67.556	63.175	3.569	0.000	0.000	0.000
237	65.832	61.655	3.472	0.000	0.000	0.000
238	65.920	61.849	3.374	0.000	0.000	0.000
239	66.061	61.758	3.869	0.000	0.000	0.000
240	66.676	62.425	3.528	0.000	0.000	0.000
241	65.923	62.087	3.813	0.000	0.000	0.000
242	66.195	62.489	3.065	0.000	0.000	0.000
243	66.389	62.510	3.379	0.000	0.000	0.000
244	65.566	62.161	3.015	0.000	0.000	0.000
245	63.559	58.871	3.794	0.000	0.000	0.000
246	66.468	62.381	3.539	0.000	0.000	0.000
247	65.778	61.923	3.586	0.000	0.000	0.000
248	66.337	62.120	3.540	0.000	0.000	0.000
249	67.077	62.795	3.511	0.000	0.000	0.000
250	67.023	62.794	3.452	0.000	0.000	0.000
251	65.871	61.943	3.763	0.000	0.000	0.000
